,fighter,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
19,Kimo Leopoldo,"6' 3""",235 lbs.,,Orthodox,"Jan 05, 1968",0.76,83%,2.12,30%,4.55,100%,0%,2.3
20,Roland Payne,"5' 9""",205 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
21,Christophe Leninger,"6' 0""",200 lbs.,,Southpaw,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
22,Emmanuel Yarborough,"6' 8""",770 lbs.,,Open Stance,"Sep 05, 1960",0.0,0%,0.0,0%,0.0,0%,0%,0.0
23,Ken Shamrock,"6' 1""",205 lbs.,"72""",Orthodox,"Feb 11, 1964",1.47,46%,4.3,39%,0.94,60%,44%,2.5
24,Harold Howard,"6' 2""",240 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
25,Steve Jennum,"5' 10""",215 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
26,Dan Severn,"6' 2""",250 lbs.,,Southpaw,"Jun 08, 1958",0.0,0%,0.0,0%,0.0,0%,0%,0.0
27,Marcus Bossett,"6' 1""",215 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
28,Guy Mezger,"6' 1""",200 lbs.,,Orthodox,"Jan 01, 1968",2.3,32%,1.36,72%,0.39,50%,88%,0.0
29,Jason Fairn,"6' 1""",230 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
30,Ron van Clief,"5' 10""",190 lbs.,,Orthodox,"Jan 25, 1943",0.0,0%,0.0,0%,0.0,0%,0%,0.0
31,Melton Bowen,"6' 0""",225 lbs.,,Orthodox,"Jul 16, 1969",0.0,0%,0.0,0%,0.0,0%,0%,0.0
32,Anthony Macias,"5' 9""",185 lbs.,,Switch,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
33,Joe Son,"5' 4""",236 lbs.,,Orthodox,"Nov 22, 1970",0.0,0%,0.0,0%,0.0,0%,0%,0.0
34,Dave Beneteau,"6' 2""",250 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
35,Jon Hess,"6' 7""",295 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
36,Oleg Taktarov,"6' 0""",210 lbs.,,Orthodox,"Aug 26, 1967",0.0,0%,0.0,0%,0.0,0%,0%,0.0
37,Larry Cureton,"6' 2""",240 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
38,Todd Medina,"5' 10""",193 lbs.,,Southpaw,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
39,Ernie Verdicia,"5' 11""",199 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
40,Joe Charles,"6' 1""",260 lbs.,,Southpaw,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
41,Andy Anderson,"5' 6""",240 lbs.,,,"Jul 16, 1974",0.0,0%,0.0,0%,0.0,0%,0%,0.0
42,John Dowdy,,,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
43,Asbel Cancio,"5' 10""",225 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
44,Paul Varelans,"6' 8""",300 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
45,David Abbott,"6' 0""",265 lbs.,,Switch,,1.35,30%,3.55,38%,1.07,33%,66%,0.0
46,John Matua,"6' 2""",400 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
47,Rudyard Moncayo,"5' 10""",195 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
48,Cal Worsham,"5' 11""",230 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
49,Scott Bessac,"6' 4""",245 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
50,Mark Hall,"6' 0""",190 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
51,Ryan Parker,"6' 3""",235 lbs.,,Southpaw,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
52,David Hood,"6' 0""",200 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
53,Gerry Harris,"6' 8""",270 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
54,Marco Ruas,"6' 1""",210 lbs.,,Orthodox,"Jan 23, 1961",0.0,0%,0.0,0%,0.0,0%,0%,0.0
55,Joe Moreira,"5' 11""",195 lbs.,,Southpaw,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
56,Gary Goodridge,"6' 3""",249 lbs.,,Orthodox,"Jan 17, 1966",1.84,56%,2.14,48%,0.4,100%,53%,0.8
57,Jerry Bohlander,"5' 11""",199 lbs.,,Orthodox,"Feb 12, 1974",0.0,0%,0.0,0%,0.0,0%,0%,0.0
58,Scott Ferrozzo,"5' 11""",323 lbs.,,Orthodox,"Apr 26, 1965",0.0,0%,0.0,0%,0.0,0%,0%,0.0
59,Sam Adkins,"6' 3""",225 lbs.,,Orthodox,"Apr 26, 1965",0.0,0%,0.0,0%,0.0,0%,0%,0.0
60,Paul Herrera,"5' 10""",185 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
61,Thomas Ramirez,"6' 1""",410 lbs.,,Sideways,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
62,Don Frye,"6' 1""",219 lbs.,,Orthodox,"Nov 23, 1965",2.87,64%,3.57,37%,0.91,57%,45%,0.7
63,Mark Schultz,"5' 9""",200 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
64,Rafael Carino,"6' 8""",245 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
65,Tai Bowden,"5' 11""",230 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
66,Steve Nelmark,"6' 0""",240 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
67,Matt Andersen,"6' 2""",230 lbs.,,Southpaw,"May 29, 1971",0.0,0%,0.0,0%,0.0,0%,0%,0.0
68,Zane Frazier,"6' 5""",250 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
69,Koji Kitao,"6' 7""",350 lbs.,,Southpaw,"Oct 12, 1963",0.0,0%,0.0,0%,0.0,0%,0%,0.0
70,Amaury Bitetti,"5' 9""",185 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
71,Geza Kalman,"6' 1""",200 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
72,Brian Johnston,"6' 3""",230 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
73,Mark Coleman,"6' 1""",205 lbs.,"75""",Orthodox,"Dec 20, 1964",1.88,52%,2.62,40%,3.89,40%,50%,0.8
74,John Campetella,"5' 9""",235 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
75,Moti Horenstein,"6' 4""",230 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
76,Scott Fiedler,"6' 4""",235 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
77,Dieusel Berto,"5' 9""",200 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
78,Reza Nasri,"5' 11""",205 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
79,Julian Sanchez,"6' 3""",300 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
80,Fabio Gurgel,"6' 0""",205 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
81,Wallid Ismail,"5' 7""",205 lbs.,,Orthodox,"Feb 23, 1968",0.92,31%,0.83,44%,1.85,28%,0%,0.5
82,Rainy Martinez,"6' 0""",199 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
83,Nick Sanzo,"5' 9""",190 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
84,Jim Mullen,"6' 1""",215 lbs.,,Southpaw,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
85,Vitor Belfort,"6' 0""",185 lbs.,"74""",Southpaw,"Apr 01, 1977",1.59,46%,2.83,50%,1.02,60%,53%,0.6
86,Yoshiki Takahashi,"5' 11""",199 lbs.,,Southpaw,"Mar 13, 1969",2.26,51%,6.47,44%,0.0,0%,66%,2.3
87,Tra Telligman,"6' 2""",233 lbs.,,Orthodox,"Feb 07, 1965",1.83,35%,3.02,56%,0.87,100%,80%,0.0
88,Wes Albritton,"5' 10""",188 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
89,Steven Graham,"6' 1""",290 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
90,Tony Halme,"6' 3""",300 lbs.,,Orthodox,"Jan 06, 1963",0.0,0%,0.0,0%,0.0,0%,0%,0.0
91,Royce Alger,"5' 10""",199 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
92,Saeed Hosseini,,,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
93,Enson Inoue,"5' 10""",210 lbs.,,Orthodox,"Apr 15, 1967",1.7,63%,1.88,30%,0.0,0%,33%,0.0
94,Randy Couture,"6' 1""",205 lbs.,"75""",Orthodox,"Jun 22, 1963",2.85,57%,1.53,59%,2.78,46%,58%,0.5
95,Tito Ortiz,"6' 3""",205 lbs.,"74""",Orthodox,"Jan 23, 1975",2.59,46%,2.88,60%,2.47,35%,54%,0.6
96,Jack Nilson,,,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
97,Dmitri Stepanov,"6' 3""",217 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
98,Tony Fryklund,"6' 0""",185 lbs.,,Orthodox,"Mar 26, 1971",3.49,39%,6.5,43%,0.0,0%,66%,0.5
99,Alex Hunter,"5' 9""",226 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
100,Kevin Jackson,"5' 10""",199 lbs.,,Switch,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
101,Mark Kerr,"6' 3""",266 lbs.,,Switch,"Dec 21, 1968",0.28,41%,0.89,28%,2.92,77%,0%,0.4
102,Maurice Smith,"6' 2""",221 lbs.,,Orthodox,"Dec 13, 1961",0.41,46%,0.47,60%,0.89,50%,20%,0.9
103,Donnie Chappell,"5' 11""",178 lbs.,,Southpaw,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
104,Dan Bobish,"6' 2""",345 lbs.,,Southpaw,"Jan 26, 1970",2.06,44%,1.74,34%,2.44,42%,0%,1.6
105,Sam Fulton,,,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
106,Todd Butler,"6' 1""",200 lbs.,,Southpaw,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
107,Yuri Vaulin,"6' 4""",197 lbs.,,Southpaw,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
108,Dwayne Cason,"5' 10""",212 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
109,Harry Moskowitz,"6' 5""",275 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
110,Carlos Barreto,"6' 4""",230 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
111,Greg Stott,"5' 7""",220 lbs.,,Southpaw,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
112,Houston Dorr,"6' 1""",210 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
113,Kazushi Sakuraba,"6' 0""",185 lbs.,,Southpaw,"Jul 14, 1969",1.26,41%,2.03,51%,1.26,31%,48%,1.7
114,Marcus Silveira,"6' 3""",242 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
115,Brad Kohler,"5' 9""",220 lbs.,,Orthodox,"May 26, 1964",0.0,0%,0.0,0%,0.0,0%,0%,0.0
116,Yoji Anjo,"5' 11""",205 lbs.,,Orthodox,"Mar 28, 1967",0.0,0%,3.13,25%,0.0,0%,0%,0.0
117,Frank Shamrock,"5' 10""",185 lbs.,,Orthodox,"Dec 08, 1972",4.75,53%,4.66,57%,0.35,50%,37%,1.1
118,Pat Miletich,"5' 10""",170 lbs.,,Orthodox,"Mar 09, 1968",1.79,45%,1.66,63%,1.96,100%,54%,1.0
119,Townsend Saunders,"5' 5""",170 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
120,Mikey Burnett,"5' 6""",170 lbs.,,Orthodox,"Apr 12, 1974",0.0,0%,0.0,0%,0.0,0%,0%,0.0
121,Igor Zinoviev,"6' 1""",199 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
122,Tsuyoshi Kohsaka,"5' 11""",225 lbs.,,Orthodox,"Mar 06, 1970",1.88,38%,4.41,54%,1.32,20%,33%,0.4
123,Eugenio Tadeu,"5' 8""",160 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
124,Chris Brennan,"5' 8""",170 lbs.,,Orthodox,"Oct 12, 1971",0.6,40%,0.97,50%,0.0,0%,25%,2.1
125,Chuck Liddell,"6' 2""",205 lbs.,"76""",Orthodox,"Dec 17, 1969",2.97,35%,2.71,56%,0.44,75%,81%,0.0
126,Dan Henderson,"5' 11""",185 lbs.,"74""",Orthodox,"Aug 24, 1970",2.44,47%,2.7,51%,1.52,52%,57%,0.3
127,Pete Williams,"6' 3""",235 lbs.,,Orthodox,"Jul 10, 1975",0.61,62%,2.77,40%,1.84,40%,16%,0.9
128,Carlos Newton,"5' 9""",170 lbs.,,Orthodox,"Aug 17, 1976",0.65,41%,1.55,44%,2.47,70%,43%,0.9
129,Mike van Arsdale,"6' 2""",205 lbs.,,Switch,"Jun 20, 1965",1.52,41%,1.91,41%,1.06,14%,37%,0.0
130,Noe Hernandez,,,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
131,Allan Goes,"6' 0""",205 lbs.,,Orthodox,"Apr 20, 1971",0.64,52%,1.35,41%,1.75,40%,0%,2.6
132,Joe Pardo,"6' 1""",210 lbs.,,Southpaw,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
133,Bob Gilstrap,"6' 3""",200 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
134,Hugo Duarte,"6' 0""",240 lbs.,,Orthodox,"Aug 09, 1968",0.0,0%,0.0,0%,0.0,0%,0%,0.0
135,Jeremy Horn,"6' 1""",185 lbs.,"74""",Orthodox,"Aug 25, 1975",1.19,39%,1.99,55%,1.83,38%,29%,1.1
136,Tulio Palhares,,180 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
137,Adriano Santos,,,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
138,Wanderlei Silva,"5' 11""",205 lbs.,"74""",Orthodox,"Jul 03, 1976",2.79,40%,2.19,60%,0.97,53%,62%,0.6
139,John Lober,"5' 11""",199 lbs.,,Orthodox,"Feb 26, 1968",0.0,0%,0.0,0%,0.0,0%,0%,0.0
140,Pedro Rizzo,"6' 1""",241 lbs.,,Orthodox,"May 03, 1974",1.93,34%,3.02,50%,0.26,28%,78%,0.0
141,Ebenezer Fontes Braga,"6' 0""",199 lbs.,,Orthodox,"Apr 14, 1969",2.42,50%,0.42,71%,0.0,0%,90%,0.6
142,Bas Rutten,"6' 1""",205 lbs.,,Orthodox,"Feb 24, 1965",5.59,61%,2.06,79%,0.0,0%,0%,0.0
143,Laverne Clark,"5' 11""",170 lbs.,,Orthodox,"Dec 02, 1973",0.0,0%,0.0,0%,0.0,0%,0%,0.0
144,Evan Tanner,"6' 0""",185 lbs.,"74""",Orthodox,"Feb 11, 1971",3.05,59%,2.64,56%,2.55,43%,25%,1.3
145,Frank Caracci,,,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
146,Darrel Gholar,"5' 8""",194 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
147,Jorge Patino,"5' 8""",170 lbs.,,Orthodox,"Aug 05, 1973",1.33,30%,3.14,53%,0.54,25%,50%,0.0
148,Sione Latu,"6' 0""",215 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
149,Kevin Randleman,"5' 10""",205 lbs.,,Orthodox,"Aug 10, 1971",1.26,54%,1.12,57%,2.0,56%,30%,0.8
150,Jason Godsey,"6' 2""",230 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
151,Valeri Ignatov,"5' 9""",170 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
152,Andre Roberts,"6' 2""",345 lbs.,,Orthodox,"Feb 24, 1965",0.0,0%,0.0,0%,0.0,0%,0%,0.0
153,Joey Roberts,"6' 2""",200 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
154,David Roberts,"6' 1""",170 lbs.,,Orthodox,"Nov 15, 1975",0.0,0%,0.0,0%,0.0,0%,0%,0.0
155,Ron Waterman,"6' 2""",280 lbs.,,Orthodox,"Nov 23, 1965",0.84,50%,1.37,42%,4.19,69%,50%,2.8
156,Marcelo Mello,"5' 7""",170 lbs.,,Southpaw,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
157,Tony Petarra,"5' 11""",196 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
158,Chris Condo,"6' 0""",335 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
159,Fabiano Iha,"5' 8""",155 lbs.,,Orthodox,"Jul 28, 1970",1.73,47%,2.49,42%,2.88,40%,50%,2.9
160,Travis Fulton,"6' 0""",240 lbs.,,Orthodox,"May 29, 1977",0.0,0%,0.0,0%,0.0,0%,0%,0.0
161,Paul Jones,"5' 9""",199 lbs.,,Orthodox,"Jun 16, 1963",0.0,0%,0.0,0%,0.0,0%,0%,0.0
162,Eugene Jackson,"5' 8""",185 lbs.,,Orthodox,"Sep 23, 1966",2.19,33%,3.44,32%,1.91,71%,16%,2.3
163,Andre Pederneiras,"5' 8""",155 lbs.,,Orthodox,"Mar 22, 1967",0.0,0%,0.0,0%,0.0,0%,0%,0.0
164,David Dodd,"6' 2""",200 lbs.,,Orthodox,"Sep 22, 1973",0.0,0%,0.0,0%,0.0,0%,0%,0.0
165,Flavio Luiz Moura,"5' 11""",183 lbs.,,Open Stance,,0.67,16%,0.0,0%,0.0,0%,0%,0.0
166,Tim Lajcik,"6' 1""",225 lbs.,,Orthodox,"Jun 21, 1965",0.0,0%,0.0,0%,0.0,0%,0%,0.0
167,Daiju Takase,"6' 0""",170 lbs.,,Southpaw,"Apr 20, 1978",0.49,30%,1.64,47%,0.84,17%,21%,1.2
168,Jens Pulver,"5' 7""",145 lbs.,"70""",Southpaw,"Dec 06, 1974",2.12,37%,3.13,56%,0.22,33%,63%,0.3
169,John Lewis,"6' 0""",155 lbs.,,Southpaw,,0.0,0%,4.0,66%,0.0,0%,0%,0.0
170,Matt Hughes,"5' 9""",170 lbs.,"73""",Switch,"Oct 13, 1973",2.14,53%,1.36,53%,2.95,50%,35%,1.2
171,Alfonso Alcarez,"5' 3""",145 lbs.,,,"Jun 10, 1970",0.0,0%,0.0,0%,0.0,0%,0%,0.0
172,Steve Judson,"5' 11""",230 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
173,Lowell Anderson,"5' 6""",160 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
174,Kenichi Yamamoto,"6' 0""",170 lbs.,,Orthodox,"Jul 11, 1976",0.3,46%,1.93,38%,0.0,0%,10%,0.3
175,Joe Slick,"6' 0""",199 lbs.,,Orthodox,"Oct 17, 1977",0.0,0%,0.0,0%,0.0,0%,0%,0.0
176,Katsuhisa Fujii,"6' 0""",205 lbs.,,Orthodox,"Aug 15, 1972",4.0,50%,4.43,64%,2.14,25%,50%,2.1
177,Masutatsu Yano,"5' 9""",198 lbs.,,Orthodox,"Jul 11, 1975",0.0,0%,0.0,0%,0.0,0%,0%,0.0
178,Keiichiro Yamamiya,"5' 11""",185 lbs.,,Southpaw,"Jul 12, 1972",0.0,0%,0.0,0%,0.0,0%,0%,0.0
179,Tiki Ghosn,"5' 10""",170 lbs.,,Orthodox,"Feb 09, 1977",2.78,46%,2.94,58%,0.41,50%,61%,0.0
180,David Velasquez,"5' 5""",145 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
181,Ian Freeman,"5' 11""",225 lbs.,,Orthodox,"Nov 10, 1966",2.54,48%,3.11,44%,1.44,40%,80%,0.7
182,Brad Gumm,"5' 11""",170 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
183,Lance Gibson,"5' 9""",185 lbs.,,Orthodox,"Nov 20, 1970",1.21,75%,6.44,20%,0.0,0%,0%,0.0
184,Bob Cook,"5' 9""",170 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
185,Tedd Williams,"6' 1""",275 lbs.,,Orthodox,"Dec 19, 1969",0.0,0%,0.0,0%,0.0,0%,0%,0.0
186,Scott Adams,"6' 0""",225 lbs.,,Southpaw,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
187,Jermaine Andre,"5' 7""",200 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
188,Shonie Carter,"5' 10""",170 lbs.,,Southpaw,"May 03, 1972",1.62,36%,2.32,47%,0.75,66%,75%,0.0
189,Dave Menne,"5' 10""",170 lbs.,,Orthodox,"Jul 29, 1974",1.84,44%,1.99,42%,0.46,50%,57%,2.5
190,Ikuhisa Minowa,"5' 9""",181 lbs.,,Orthodox,"Jan 12, 1976",0.88,40%,1.66,49%,1.82,41%,5%,1.9
191,Sanae Kikuta,"5' 9""",200 lbs.,,Orthodox,"Sep 10, 1971",0.7,45%,0.9,52%,1.6,63%,25%,1.8
192,Murilo Bustamante,"6' 2""",183 lbs.,,Orthodox,"Jul 30, 1966",1.33,32%,1.9,60%,2.46,33%,54%,1.2
193,Koji Oishi,"5' 8""",170 lbs.,,Orthodox,"May 31, 1977",1.43,9%,17.86,43%,0.0,0%,0%,0.0
194,Satoshi Honma,"6' 1""",205 lbs.,,Orthodox,"May 19, 1968",0.0,0%,0.0,0%,0.0,0%,0%,0.0
195,John Alessio,"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979",2.1,39%,2.91,54%,1.85,38%,70%,1.2
196,Joao Roque,"5' 6""",155 lbs.,,Orthodox,"Jul 22, 1971",0.0,0%,0.0,0%,0.0,0%,0%,0.0
197,Alex Andrade,"5' 11""",200 lbs.,,Orthodox,"May 14, 1974",0.2,36%,2.6,53%,0.0,0%,25%,0.8
198,Adrian Serrano,"5' 8""",170 lbs.,,,"Dec 23, 1963",0.0,0%,0.0,0%,0.0,0%,0%,0.0
199,Marcelo Aguiar,"5' 10""",170 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
200,Nate Schroeder,"6' 1""",230 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
201,Tyrone Roberts,"5' 9""",185 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0
202,CJ Fernandes,"6' 2""",170 lbs.,,,"Nov 13, 1977",0.0,0%,0.0,0%,0.0,0%,0%,0.0
203,Yuki Kondo,"5' 11""",183 lbs.,,Southpaw,"Jul 17, 1975",1.14,42%,2.57,51%,0.76,41%,37%,0.5
204,Jeff Monson,"5' 9""",247 lbs.,"74""",Orthodox,"Jan 18, 1971",0.97,30%,2.87,59%,1.06,12%,66%,0.7
205,Bobby Hoffman,"6' 2""",245 lbs.,,Orthodox,"Oct 28, 1968",2.02,70%,1.32,19%,1.17,50%,0%,1.2
206,Alexandre Dantas,"6' 2""",238 lbs.,,Orthodox,"Mar 01, 1979",0.21,25%,1.87,60%,0.0,0%,0%,3.1
207,Aaron Brink,"6' 3""",205 lbs.,,Orthodox,"Nov 12, 1974",3.49,42%,5.71,57%,0.0,0%,0%,0.0
208,Chris Lytle,"5' 11""",170 lbs.,"68""",Orthodox,"Aug 18, 1974",3.76,45%,3.03,58%,0.7,55%,55%,2.4
209,Gan McGee,"6' 10""",265 lbs.,,Orthodox,"Nov 20, 1976",2.2,29%,2.31,59%,0.65,25%,83%,0.0
210,Alex Stiebling,"6' 2""",205 lbs.,,Southpaw,,1.77,42%,1.45,52%,0.35,66%,66%,0.7
211,Josh Barnett,"6' 3""",250 lbs.,"78""",Orthodox,"Nov 10, 1977",3.2,50%,2.11,57%,1.26,55%,55%,1.4
212,Andrei Arlovski,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",3.48,44%,2.83,57%,0.47,36%,78%,0.3
213,Mark Hughes,"5' 9""",205 lbs.,,Southpaw,"Oct 13, 1973",0.9,47%,0.4,42%,3.0,50%,0%,4.5
214,Renato Sobral,"6' 1""",205 lbs.,"75""",Orthodox,"Sep 07, 1975",2.23,45%,1.53,57%,2.48,42%,65%,2.6
